jobTitle,location,description,jobType,skills,jobId,combined_features
Sr Engineer Information Security,{BangaloreMumbai},"3+ years of experience in similar domains
Mandatory hands-on experience on one or more of the following: Firewall, Proxy, IPS, Web Security, Mail Security / F5 / Zscaler
Good understanding of OSI Model, TCP/IP protocol suite (IP, ARP, ICMP, TCP, UDP, SNMP, FTP, TFTP)
IP addressing & sub netting, Routing Concepts (OSPF, BGP), VLSM/CIDR
In-depth knowledge of L2 technology and protocols like VLANs, VLAN Tagging (IEEE 802.1q), LACP, VLAN trunking, STP (IEEE 802.1D and other 802.1 implementations.)
Strong knowledge in VPN: Design, Implementation Scenarios, Connectivity troubleshooting and other Algorithms such as DES, 3DES, MD5, SHA, PKI, IPSEC Site to Site & Remote Access VPN
Security, Firewalls, access and perimeter control, vulnerability management and intrusion detection. Strong knowledge on various attacks like SYN flood, Replay attacks and the mitigation techniques
Implementation scenarios, configuration and troubleshooting of Firewall related issues

Key Deliverables
• Troubleshooting L1/L2/L3 tickets and submitting the RCA.
• Implementing information Security products and submitting the reports.
• Presenting the appropriate solutions at customer meetings.
• Keeping well informed of general technical developments, company products and services.
• Maintaining accurate up to date reporting using the company systems and providing ad-hoc manual reporting where required.
• Ensuring that product, technical and market knowledge is kept up to date by reading literature, networking, attending training courses, liaising with other colleagues and sharing unique knowledge with the rest of the company.
Potential barriers to success
Unable to listen & understand customer grievances
Unable to adapt to differences
Blocked personal learner
Poor communicator
Lack of initiative
Not able to work autonomously

Manadatory Skills - Hands-on deployment on Firewall (Fortigate or Palo Alto) and Zscaler or Forcepoint or Netscope, Troubleshooting, Deployment, Implementation",Permanent,"['{""information', 'security""}']",JDSE1988,"3+ years of experience in similar domains
Mandatory hands-on experience on one or more of the following: Firewall, Proxy, IPS, Web Security, Mail Security / F5 / Zscaler
Good understanding of OSI Model, TCP/IP protocol suite (IP, ARP, ICMP, TCP, UDP, SNMP, FTP, TFTP)
IP addressing & sub netting, Routing Concepts (OSPF, BGP), VLSM/CIDR
In-depth knowledge of L2 technology and protocols like VLANs, VLAN Tagging (IEEE 802.1q), LACP, VLAN trunking, STP (IEEE 802.1D and other 802.1 implementations.)
Strong knowledge in VPN: Design, Implementation Scenarios, Connectivity troubleshooting and other Algorithms such as DES, 3DES, MD5, SHA, PKI, IPSEC Site to Site & Remote Access VPN
Security, Firewalls, access and perimeter control, vulnerability management and intrusion detection. Strong knowledge on various attacks like SYN flood, Replay attacks and the mitigation techniques
Implementation scenarios, configuration and troubleshooting of Firewall related issues

Key Deliverables
• Troubleshooting L1/L2/L3 tickets and submitting the RCA.
• Implementing information Security products and submitting the reports.
• Presenting the appropriate solutions at customer meetings.
• Keeping well informed of general technical developments, company products and services.
• Maintaining accurate up to date reporting using the company systems and providing ad-hoc manual reporting where required.
• Ensuring that product, technical and market knowledge is kept up to date by reading literature, networking, attending training courses, liaising with other colleagues and sharing unique knowledge with the rest of the company.
Potential barriers to success
Unable to listen & understand customer grievances
Unable to adapt to differences
Blocked personal learner
Poor communicator
Lack of initiative
Not able to work autonomously

Manadatory Skills - Hands-on deployment on Firewall (Fortigate or Palo Alto) and Zscaler or Forcepoint or Netscope, Troubleshooting, Deployment, Implementation ['{""information', 'security""}']"
L3 Network Engineer,{Bangalore},"1. Working Knowledge in Cisco (Routing and Switching, Security) 2. Troubleshooting the tickets with relevant tools (Wireshark, Packet tracer, Solar Winds, etc.) 3. Responsible for the day-to-day running of the operations within each regional Network Operations Centre. 4. Responsible for tracking daily incidents and handling escalations and end to end follow up of incidents.  Skill Set: · Cisco hands on Experience &amp; · Security – ASA or Palo Alto Firewall or FortiGate · Troubleshooting knowledge in Cisco · Experience on SD-WAN · EIGRP and BGP Knowledge.",Permanent,"['{""l3', 'network', 'engineer""', 'routing', 'switching', 'ciso', '""asa', 'firewall""}']",JDLN3838,"1. Working Knowledge in Cisco (Routing and Switching, Security) 2. Troubleshooting the tickets with relevant tools (Wireshark, Packet tracer, Solar Winds, etc.) 3. Responsible for the day-to-day running of the operations within each regional Network Operations Centre. 4. Responsible for tracking daily incidents and handling escalations and end to end follow up of incidents.  Skill Set: · Cisco hands on Experience &amp; · Security – ASA or Palo Alto Firewall or FortiGate · Troubleshooting knowledge in Cisco · Experience on SD-WAN · EIGRP and BGP Knowledge. ['{""l3', 'network', 'engineer""', 'routing', 'switching', 'ciso', '""asa', 'firewall""}']"
Sr. Netsuite Conslutant,{Bangalore},"Experience required:
Bachelor's degree, preferably in Accounting or Management Information Systems
    Significant experience in NetSuite application systems consulting for a Software Vendor
    Should have previous experience of implementing NetSuite system around P2P, O2P and Record
    Have NetSuite Certification(Added Advantage)
    Delivery of configurations, reports and customizations within NetSuite using the Standard toolset
    Good understanding of Suite Success.
Responsibilities :
Requirement gathering
 Solution design
Delivery effort estimation
Solution delivery
 Validation (testing)
 Technical documentation writing
 Internal and external presentations (demo)
 Customer advisory
Major technical skills:
Suite Script/JavaScript
HTML/XML
Webservices (SOAP, WSDL, REST) SQL",Permanent,"['{""erp', 'process', 'knowledge""', '""system', 'integration""', 'accountant', '""crm', 'module""', 'suitebundler', '""basic', 'suitescript', '1.0', '&', '2.0""}']",JDSN7831,"Experience required:
Bachelor's degree, preferably in Accounting or Management Information Systems
    Significant experience in NetSuite application systems consulting for a Software Vendor
    Should have previous experience of implementing NetSuite system around P2P, O2P and Record
    Have NetSuite Certification(Added Advantage)
    Delivery of configurations, reports and customizations within NetSuite using the Standard toolset
    Good understanding of Suite Success.
Responsibilities :
Requirement gathering
 Solution design
Delivery effort estimation
Solution delivery
 Validation (testing)
 Technical documentation writing
 Internal and external presentations (demo)
 Customer advisory
Major technical skills:
Suite Script/JavaScript
HTML/XML
Webservices (SOAP, WSDL, REST) SQL ['{""erp', 'process', 'knowledge""', '""system', 'integration""', 'accountant', '""crm', 'module""', 'suitebundler', '""basic', 'suitescript', '1.0', '&', '2.0""}']"
Peoplesoft Techno Functional Developer,{Bangalore},"Job Description
JD: Peoplesoft techno-Functional Developer:



• 3 to 4 years of techno-Functional experience with PeopleSoft financials.

• Should have good knowledge in FSCM module like AP, GL , AR and Project Costing

• PeopleTools software development experience using PeopleCode, Workflow, SQR, Application Engine, Data Mover, Integration Broker and Component Interface.

• Report Development (XML publisher, SQR, queries) experience.

• Interface Development experience.

• Testing experience during all system and end user testing, including issue analysis and resolution.

• Ability to document technical specifications.

• Strong analytical and design skills.

• Strong communication skills and ability to work closely with business and functional resources to develop sustainable business solutions Flexible to work in rotational shift.",Permanent,"['{""communication', 'skills""', '""functional', 'resources""', '""analytical', 'and', 'designing', 'skills""', '""document', 'technical', 'specifiying""}']",JDFD3420,"Job Description
JD: Peoplesoft techno-Functional Developer:



• 3 to 4 years of techno-Functional experience with PeopleSoft financials.

• Should have good knowledge in FSCM module like AP, GL , AR and Project Costing

• PeopleTools software development experience using PeopleCode, Workflow, SQR, Application Engine, Data Mover, Integration Broker and Component Interface.

• Report Development (XML publisher, SQR, queries) experience.

• Interface Development experience.

• Testing experience during all system and end user testing, including issue analysis and resolution.

• Ability to document technical specifications.

• Strong analytical and design skills.

• Strong communication skills and ability to work closely with business and functional resources to develop sustainable business solutions Flexible to work in rotational shift. ['{""communication', 'skills""', '""functional', 'resources""', '""analytical', 'and', 'designing', 'skills""', '""document', 'technical', 'specifiying""}']"
Java Developer ,{Bangalore},"Java/J2EE and Springboot Developer
Experience – 3 to 5Yrs
Job Type: Full-time
Job Summary
We are looking for Sr. Java/J2EE Developer with Experience in Spring Boot, Spring,
Hibernate and will work with our team of talented engineers to design and build the
next generation of our mobile applications.
- Collaborate with cross-functional teams to define, design, and ship new features
- Work with different Third-party APIs.
- Work on bug fixing and improving application performance
- Continuously discover, evaluate, and implement new technologies to maximize
development efficiency.

Responsibilities and Duties
- Proven working experience in software development
- Working experience in Core Java, Spring framework, JDBCTemplate, Spring Boot,
OAuth, Spring Data JPA, Hibernate, REST API, MySQL and Log4j.
- Experience with integrating third-party libraries and APIs.
- Working experience in developing Microservices and ETLs using Spring Boot.
- Hands on experience in using Tomcat Webserver.
- Strong experience in Test Driven Development Knowledge with Junit framework.

- Prefer to have experience in Maven, Jenkins, Linux, Amazon Web Services (SNS,
S3, SES, APIGateway, Lambda), JIRA and Bitbucket.",Permanent,"['{java', 'j2ee', 'springboot', 'junit', 'maven', 'jenkins', 'linux', 'aws}']",JDJD2268,"Java/J2EE and Springboot Developer
Experience – 3 to 5Yrs
Job Type: Full-time
Job Summary
We are looking for Sr. Java/J2EE Developer with Experience in Spring Boot, Spring,
Hibernate and will work with our team of talented engineers to design and build the
next generation of our mobile applications.
- Collaborate with cross-functional teams to define, design, and ship new features
- Work with different Third-party APIs.
- Work on bug fixing and improving application performance
- Continuously discover, evaluate, and implement new technologies to maximize
development efficiency.

Responsibilities and Duties
- Proven working experience in software development
- Working experience in Core Java, Spring framework, JDBCTemplate, Spring Boot,
OAuth, Spring Data JPA, Hibernate, REST API, MySQL and Log4j.
- Experience with integrating third-party libraries and APIs.
- Working experience in developing Microservices and ETLs using Spring Boot.
- Hands on experience in using Tomcat Webserver.
- Strong experience in Test Driven Development Knowledge with Junit framework.

- Prefer to have experience in Maven, Jenkins, Linux, Amazon Web Services (SNS,
S3, SES, APIGateway, Lambda), JIRA and Bitbucket. ['{java', 'j2ee', 'springboot', 'junit', 'maven', 'jenkins', 'linux', 'aws}']"
Digital Ecomm Developer,{ChennaiBangalorePuneMumbai},"•	3-5 years of hands on experience in PHP Development, HTML/CSS,Javascript, Angular Skill
•	Having prior experience to any Ecommerce platform will be preferred
•	Experience on MVC framework will be an added advantage.
•	Good Communication skills, self-starter  and proactive.

",Permanent,"['{""php', 'development""', '""angular', 'skill""', 'html', 'css', 'javascript', 'ecoommerce}']",JDDE9250,"•	3-5 years of hands on experience in PHP Development, HTML/CSS,Javascript, Angular Skill
•	Having prior experience to any Ecommerce platform will be preferred
•	Experience on MVC framework will be an added advantage.
•	Good Communication skills, self-starter  and proactive.

 ['{""php', 'development""', '""angular', 'skill""', 'html', 'css', 'javascript', 'ecoommerce}']"
Sr Java Developer,{Hyderabad},"Are you a passionate Java Developer   and want to be part of a great engineering team?
If yes, we both can end our quest. We are looking for you and you will love becoming part of our family.
"" Drucare   is a growing Health-tech company with a history of developing innovative solutions in healthcare domain. We are a team of motivated individuals that help each other do remarkable things every day. Drucarians are active learners, have a positive impact in the Healthcare sector and do exceptional work. We face challenges together and we win together. And together, we deliver world-class solutions that transform the way Providers and Patients uses technology.”
Apart from developing a world-leading SaaS Platform, we believe in constantly enriching our culture with-in, and make it an abode for Drucarians. We balance super hard work with having a lot of fun. In order to achieve this, we are looking to expand the team.
Drucare is seeking a Java Developer who is smart, curious and loves the challenge of solving problems that improve people’s lives. Our comprehensive Healthcare management platform is built on the latest tech stack and cloud technologies. You’ll collaborate with a fun and close-knit agile team to architect, implement, test, and continuously deliver new features and solutions to our Healthcare customers.”
•	We are currently hiring for the position of – Sr. Java Developer
•	Years Of Experience required: 3-5 yrs.
•	Joining Period:   Looking for   IMMEDIATE   joiners only.
•	Must have:   Individual with higher learnability, who are genuinely curious and inquisitive in acquiring new knowledge with hungry mind.
Requirements
Primary Skill:
Java, Exception Handling, Collections, Multi-threading, JDBC, Servlet, Spring (IOC, JDBC, MVC, AOP, Security), Spring Boot, RESTFUL Web services
Required Skills:
•	We are looking for a Java Developer with extensive experience in the delivery, development, and maintenance of technology-based solutions. 
•	Should have knowledge on designing and implementation of REST Web services, XML based SOAP services.
•	Having experience with Spring cloud, Spring Security, Spring AOP modules, Spring MVC
•	Should be efficient with Java, J2EE and related technologies.
•	Strong development using Core Java, Java 8
•	Good at Multithreading
•	Good knowledge of Cloud-based development (preferably AWS )
•	Development experience with object orientation, polymorphism, reflection, and interfaces
•	Good working knowledge on any database (PostgreSQL/Oracle/ Sybase/SqlServer/DB2)
•	Experience working in a fast-paced start-up environment.
•	Manage, mentor and train junior and mid-level developers
•	Identify inadequacies in current processes or procedures, and propose solutions
•	Work independently as well as lead a team in planning, designing, implementing and deploying multi-component software systems of significant complexity
•	The ideal candidate will be a hardcore programmer must have an excellent understanding of OOPS concepts with good exposure to design patterns
•	Understand and follow established processes and best practices.
•	Professional/detailed bug reporting
•	Work with development team to verify bug fixes through the release cycles
•	Should have knowledge on GIT versioning 
•	Good to have knowledge on spring microservices
Benefits
•	PF
•	ESIC
",Permanent,"['{java', '""spring', 'boot""', 'webservices', 'microservices}']",JDSJ2653,"Are you a passionate Java Developer   and want to be part of a great engineering team?
If yes, we both can end our quest. We are looking for you and you will love becoming part of our family.
"" Drucare   is a growing Health-tech company with a history of developing innovative solutions in healthcare domain. We are a team of motivated individuals that help each other do remarkable things every day. Drucarians are active learners, have a positive impact in the Healthcare sector and do exceptional work. We face challenges together and we win together. And together, we deliver world-class solutions that transform the way Providers and Patients uses technology.”
Apart from developing a world-leading SaaS Platform, we believe in constantly enriching our culture with-in, and make it an abode for Drucarians. We balance super hard work with having a lot of fun. In order to achieve this, we are looking to expand the team.
Drucare is seeking a Java Developer who is smart, curious and loves the challenge of solving problems that improve people’s lives. Our comprehensive Healthcare management platform is built on the latest tech stack and cloud technologies. You’ll collaborate with a fun and close-knit agile team to architect, implement, test, and continuously deliver new features and solutions to our Healthcare customers.”
•	We are currently hiring for the position of – Sr. Java Developer
•	Years Of Experience required: 3-5 yrs.
•	Joining Period:   Looking for   IMMEDIATE   joiners only.
•	Must have:   Individual with higher learnability, who are genuinely curious and inquisitive in acquiring new knowledge with hungry mind.
Requirements
Primary Skill:
Java, Exception Handling, Collections, Multi-threading, JDBC, Servlet, Spring (IOC, JDBC, MVC, AOP, Security), Spring Boot, RESTFUL Web services
Required Skills:
•	We are looking for a Java Developer with extensive experience in the delivery, development, and maintenance of technology-based solutions. 
•	Should have knowledge on designing and implementation of REST Web services, XML based SOAP services.
•	Having experience with Spring cloud, Spring Security, Spring AOP modules, Spring MVC
•	Should be efficient with Java, J2EE and related technologies.
•	Strong development using Core Java, Java 8
•	Good at Multithreading
•	Good knowledge of Cloud-based development (preferably AWS )
•	Development experience with object orientation, polymorphism, reflection, and interfaces
•	Good working knowledge on any database (PostgreSQL/Oracle/ Sybase/SqlServer/DB2)
•	Experience working in a fast-paced start-up environment.
•	Manage, mentor and train junior and mid-level developers
•	Identify inadequacies in current processes or procedures, and propose solutions
•	Work independently as well as lead a team in planning, designing, implementing and deploying multi-component software systems of significant complexity
•	The ideal candidate will be a hardcore programmer must have an excellent understanding of OOPS concepts with good exposure to design patterns
•	Understand and follow established processes and best practices.
•	Professional/detailed bug reporting
•	Work with development team to verify bug fixes through the release cycles
•	Should have knowledge on GIT versioning 
•	Good to have knowledge on spring microservices
Benefits
•	PF
•	ESIC
 ['{java', '""spring', 'boot""', 'webservices', 'microservices}']"
Azure BI Developer - Excellerate,{Hyderabad},"Resource must have 5+ years of hands on experience in Azure Cloud development (ADF)
Mandatory Strong in Azure SQL and good to have knowledge on Synapse / Analytics Experience in working on Agile Project and familiar with Scrum/SAFe ceremonies.
Defines, designs, develops and test software components/applications using Microsoft Azure- Databricks, ADF, ADL, Hive, Python, Databricks, SparkSql, PySpark.
Expertise in Azure Data Bricks, ADF, ADL, Hive, Python, Spark, PySpark
Strong T-SQL skills with experience in Azure SQL DW
Experience handling Structured and unstructured datasets
Experience in Data Modeling and Advanced SQL techniques
Experience implementing Azure Data Factory Pipelines using latest technologies and techniques.
Good exposure in Application Development.",Permanent,"['{azure', '""', 'synapse""', '""', 'adf""}']",JDAB7664,"Resource must have 5+ years of hands on experience in Azure Cloud development (ADF)
Mandatory Strong in Azure SQL and good to have knowledge on Synapse / Analytics Experience in working on Agile Project and familiar with Scrum/SAFe ceremonies.
Defines, designs, develops and test software components/applications using Microsoft Azure- Databricks, ADF, ADL, Hive, Python, Databricks, SparkSql, PySpark.
Expertise in Azure Data Bricks, ADF, ADL, Hive, Python, Spark, PySpark
Strong T-SQL skills with experience in Azure SQL DW
Experience handling Structured and unstructured datasets
Experience in Data Modeling and Advanced SQL techniques
Experience implementing Azure Data Factory Pipelines using latest technologies and techniques.
Good exposure in Application Development. ['{azure', '""', 'synapse""', '""', 'adf""}']"
Peoplesoft Administrator,{bangalore},"Assist Application Developers with performance tuning of SQL, queries and database objects.
Provide 24x7 problem management support when needed.
Responsible to handling team escalations- create bridge to discuss priority tasks.
Troubleshoot basic to complex problems taking full ownership of problem until resolved
Demonstrate active participation in supporting project activities.
Resolve technical application-level problems, on site and remotely with minimal supervision.
Good grip on performance tuning.
",Permanent,"['{peoplesoft', '""oracle', 'dba""', 'activio', 'typewriting}']",JDPA7836,"Assist Application Developers with performance tuning of SQL, queries and database objects.
Provide 24x7 problem management support when needed.
Responsible to handling team escalations- create bridge to discuss priority tasks.
Troubleshoot basic to complex problems taking full ownership of problem until resolved
Demonstrate active participation in supporting project activities.
Resolve technical application-level problems, on site and remotely with minimal supervision.
Good grip on performance tuning.
 ['{peoplesoft', '""oracle', 'dba""', 'activio', 'typewriting}']"
Billing & Collections Sr Associate,{Bangalore},"Shift timings: 3 PM to 12 Midnights

WORK FROM OFFICE

Total experience required: 5 to 6 years.

SEMI VOICE PROCESS – Please ensure communication is screened thoroughly before processing

BUDGET – Max 8 LPA

Notice Period – Max 15 days

 

Key Responsibilities

•             Providing customer service regarding collection issues, process customer refunds, process and review account adjustments, resolve client discrepancies and short payments. Responsible for monitoring and maintaining assigned accounts- Customer calls, account adjustments, small balance write off, customer reconciliations and processing credit memos.

•             Accountable for reducing delinquency for assigned accounts.

•             Perform other assigned tasks and duties necessary to support the Accounts Receivable Department.

•             Establish and maintain effective and cooperative working relationships with Billing and cash applications team.

Essential Functions

•             Weekly and monthly reporting to direct supervisor

•             Monthly Delinquency notices

•             Processing monthly credit memos and the appropriate reporting

•             High volume phone calls to assigned delinquent customers

•             Reconcile customer disputes as they pertain to payment of outstanding balances that are due

•             Internal and External customer interface

•             Participate in team planning meetings

•             Meet defined department goals and activity metrics

 

Mandatory skills: 

•             Knowledge of Credit Management and Collections procedures

•             Experience with Oracle JDE a plus

•             Commitment to excellent customer service

•             Excellent written and verbal communication abilities

•             Ability to prioritize and manage multiple responsibilities",Permanent,"['{""billing', 'and', 'collections""', '""credit', 'management""}']",JDB&3041,"Shift timings: 3 PM to 12 Midnights

WORK FROM OFFICE

Total experience required: 5 to 6 years.

SEMI VOICE PROCESS – Please ensure communication is screened thoroughly before processing

BUDGET – Max 8 LPA

Notice Period – Max 15 days

 

Key Responsibilities

•             Providing customer service regarding collection issues, process customer refunds, process and review account adjustments, resolve client discrepancies and short payments. Responsible for monitoring and maintaining assigned accounts- Customer calls, account adjustments, small balance write off, customer reconciliations and processing credit memos.

•             Accountable for reducing delinquency for assigned accounts.

•             Perform other assigned tasks and duties necessary to support the Accounts Receivable Department.

•             Establish and maintain effective and cooperative working relationships with Billing and cash applications team.

Essential Functions

•             Weekly and monthly reporting to direct supervisor

•             Monthly Delinquency notices

•             Processing monthly credit memos and the appropriate reporting

•             High volume phone calls to assigned delinquent customers

•             Reconcile customer disputes as they pertain to payment of outstanding balances that are due

•             Internal and External customer interface

•             Participate in team planning meetings

•             Meet defined department goals and activity metrics

 

Mandatory skills: 

•             Knowledge of Credit Management and Collections procedures

•             Experience with Oracle JDE a plus

•             Commitment to excellent customer service

•             Excellent written and verbal communication abilities

•             Ability to prioritize and manage multiple responsibilities ['{""billing', 'and', 'collections""', '""credit', 'management""}']"
